"category","commercial_gym","crossfit_hyrox_gym","decent_home_gym","minimal_equipment","name","no_equipment","exercise_slug","Creation Date","Modified Date","Slug","Creator","unique id"
"Bodyweight / no gear","yes","yes","yes","yes","bodyweight","yes","bodyweight","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757446x136367148753498320"
"Cardio machine","no","yes","no","no","assault/air bike","no","assault_bike","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757453x845043260719341800"
"Cardio machine","yes","yes","no","no","bikeerg","no","bike_erg","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757462x687034445455885800"
"Cardio machine","yes","yes","no","no","rowing machine","no","row_erg","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757469x297467191610326850"
"Cardio machine","no","yes","no","no","skierg","no","ski_erg","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757480x205296166867753540"
"Cardio machine","yes","no","no","no","treadmill","no","treadmill","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757486x560148933020963460"
"Conditioning tools","yes","yes","no","no","medicine ball","no","med_ball","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757493x404328210472058240"
"Conditioning tools","no","yes","no","no","jump rope","no","jump_rope","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757500x522969296680021900"
"Conditioning tools","yes","yes","no","no","batte rope","no","battle_rope","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757506x197317697515741570"
"Free weights","yes","yes","yes","no","barbell and plates","no","barbell","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757512x228000229800015870"
"Free weights","yes","yes","yes","no","bench","no","bench","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757520x138613093469280860"
"Free weights","yes","yes","yes","no","dumbbells","no","dumbbells","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757528x219817784816571420"
"Free weights","yes","yes","yes","no","kettlebells","no","kettlebells","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757535x876552579626930400"
"Free weights","yes","no","no","no","trap bar","no","trap_bar","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757541x434620138399638200"
"Functional / plyo","yes","yes","yes","yes","box","no","box","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757547x637197952514780400"
"Functional / strongman","no","yes","no","no","d-ball","no","d-ball","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757553x262138194999801400"
"Functional / strongman","no","yes","yes","no","sandbag","no","sandbag","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757560x284695942372763520"
"Gymnastics / rig","yes","yes","yes","no","pull-up bar","no","pullup_bar","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757566x945084143529917300"
"Gymnastics / rig","no","yes","no","no","rings","no","rings","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757573x627944382464131760"
"Running","yes","yes","yes","yes","track/treadmill","no","treadmill","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757579x923243789917044700"
"Sled / Hyrox-specific","no","yes","no","no","sled","no","sled","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757589x926227836403144000"
"Sled / Hyrox-specific","no","yes","no","no","wall ball","no","wall_ball","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757597x810736407551822800"
"Strength machine","yes","no","no","no","cable machine","no","cable","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757604x181203354817088830"
"Strength machine","yes","no","no","no","calf raise machine","no","calf_machine","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757612x448117197273443260"
"Strength machine","yes","no","no","no","chest press machine","no","chest_press","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757618x974313939167615500"
"Strength machine","yes","no","no","no","pec deck","no","pec_deck","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757625x872159162825447700"
"Strength machine","yes","no","no","no","leg curl machine","no","leg_curl","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757632x640436115607357000"
"Strength machine","yes","no","no","no","leg press machine","no","leg_press","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757640x191630518865631550"
"Strength machine","yes","no","no","no","quad extension machine","no","leg_extension","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757647x864989675382407200"
"Strength machine","yes","no","no","no","lat pulldown","no","lat_pulldown","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757654x425859392337180500"
"Strength machine","yes","no","no","no","shoulder press machine","no","shoulder_press","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757661x347316869190645200"
"Strength machine","yes","no","no","no","hack squat machine","no","hack_squat","Feb 14, 2026 3:25 pm","Feb 14, 2026 3:25 pm","","(App admin)","1771082757668x328813685294877950"
